Buffer_ID,class
BX58192254,under 10000
QN927565,30000-40000
BK154928,40000-50000
BK19844,40000-50000
BX311051,over 60000
SI777439,under 10000
SI19919,10000-15000
SI284654,10000-15000
QN11562168,10000-15000
BK45571,15000-20000
SI2899308,15000-20000
BX58192245,under 10000
SI789924,10000-15000
BX325581,30000-40000
BK166121,40000-50000
BX480321,15000-20000
QN1206320,20000-30000
QN514928,30000-40000
BX479552,15000-20000
BX45658,30000-40000
SI337840,10000-15000
SI835216,10000-15000
QN157514,30000-40000
SI792312,under 10000
SI6600132,under 10000
SI73791,under 10000
QN1267548,15000-20000
SI7841107,under 10000
QN290230,30000-40000
QN636323,20000-30000
SI633339,under 10000
SI74739,10000-15000
QN1304429,15000-20000
BX319669,over 60000
SI824114,15000-20000
QN884629,20000-30000
QN1257230,30000-40000
SI119619,15000-20000
QN323210,15000-20000
SI629847,under 10000
BK276028,40000-50000
SI788483,under 10000
BK169110,40000-50000
SI421227,10000-15000
BK453625,20000-30000
SI33458,10000-15000
BK134025,40000-50000
BX501521,30000-40000
SI572080,15000-20000
SI613103,10000-15000
QN465970,20000-30000
BK652750,20000-30000
SI775540,under 10000
SI8512,15000-20000
QN13750238,10000-15000
QN1266452,20000-30000
QN931530,40000-50000
QN132505,15000-20000
BX583160,under 10000
QN469248,20000-30000
BX5949293,10000-15000
SI6712363,under 10000
BX368638,30000-40000
SI1198107,15000-20000
QN803527,under 10000
SI2090110,under 10000
BK177477,40000-50000
SI12377,10000-15000
QN115591,10000-15000
MN161750,over 60000
BX298752,40000-50000
SI624421,under 10000
QN28164,20000-30000
BX495914,20000-30000
BK48904,40000-50000
MN161731,over 60000
MN177222,40000-50000
BX58404155,under 10000
BX274535,over 60000
SI42314,10000-15000
SI316627,10000-15000
BK13317,over 60000
BK537916,40000-50000
SI297315,15000-20000
SI315130,10000-15000
BK6681431,30000-40000
QN824727,10000-15000
QN1207111,20000-30000
BX487836,40000-50000
BX469634,40000-50000
BX470719,40000-50000
SI76145,15000-20000
SI786819,10000-15000
BK408912,40000-50000
BX5417147,10000-15000
SI421646,10000-15000
QN908237,30000-40000
BX266138,over 60000
QN175526,40000-50000
SI57617,15000-20000
SI5484,20000-30000
SI80823,20000-30000
QN185775,40000-50000
QN366352,20000-30000
BK100311,20000-30000
SI631300,10000-15000
BK662920,40000-50000
QN1156137,under 10000
BK445745,40000-50000
SI643172,under 10000
QN809764,under 10000
SI683236,10000-15000
BX455834,30000-40000
SI726740,10000-15000
BK391313,30000-40000
BX535634,15000-20000
QN310146,30000-40000
SI5442,20000-30000
SI752357,15000-20000
BX45391,15000-20000
BK4105118,40000-50000
BK7386114,40000-50000
SI689653,under 10000
SI7775193,under 10000
SI756215,under 10000
BX251727,over 60000
BK401725,40000-50000
BK790327,20000-30000
BX45135,40000-50000
BK414513,40000-50000
SI63724,20000-30000
BX456424,30000-40000
BX32407,over 60000
QN13434124,10000-15000
BX5411269,20000-30000
BX351027,30000-40000
SI226795,under 10000
BK4586200,under 10000
BK14977,40000-50000
QN766759,under 10000
QN628618,20000-30000
BX489316,20000-30000
QN121168,under 10000
SI52919,20000-30000
SI382041,under 10000
SI687277,under 10000
SI10633,15000-20000
MN38746,over 60000
QN924950,30000-40000
BX229228,40000-50000
QN12525107,20000-30000
SI626621,under 10000
SI15152,10000-15000
QN1000633,20000-30000
BX319946,over 60000
BX312739,over 60000
BX474028,30000-40000
BX502925,20000-30000
QN13750105,10000-15000
SI779917,under 10000
QN135328,40000-50000
BX261148,over 60000
BX455123,40000-50000
BK181065,over 60000
BK787555,30000-40000
QN115595,10000-15000
MN200727,over 60000
BX425023,10000-15000
BK594975,40000-50000
BK21471,over 60000
